id_commande,statut,delai_jours,mode_paiement,probleme,resolution
HW-2024-0001,livré,4,carte,aucun,
HW-2024-0002,livré,3,paypal,taille incorrecte,échange effectué
HW-2024-0003,en_transit,2,carte,aucun,
HW-2024-0004,livré,6,livraison,retard,bon de réduction offert
HW-2024-0005,annulé,0,paypal,annulation client,remboursement effectué
HW-2024-0006,livré,5,virement,défaut couture,remplacement envoyé
HW-2024-0007,livré,4,carte,aucun,
HW-2024-0008,en_transit,3,carte,aucun,
HW-2024-0009,livré,7,livraison,colis endommagé,remboursement partiel
HW-2024-0010,livré,3,paypal,aucun,
